('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862397 function calls (838123 primitive calls) in 2.964 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      945    2.564    0.003    2.564    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.054    0.054    0.054    0.054 {method 'connect' of '_socket.socket' objects}
     3461    0.015    0.000    0.075    0.000 parser.py:301(parse_starttag)
        1    0.015    0.015    0.015    0.015 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
    31571    0.013    0.000    0.013    0.000 {method 'match' of 're.Pattern' objects}
 4756/199    0.011    0.000    0.034    0.000 _parser.py:512(_parse)
    25/23    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
        2    0.009    0.005    0.122    0.061 parser.py:134(goahead)
 5518/191    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
      164    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    91254    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     3461    0.005    0.000    0.008    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3461    0.005    0.000    0.032    0.000 __init__.py:990(handle_starttag)
    10270    0.005    0.000    0.005    0.000 element.py:382(setup)
73151/66813    0.004    0.000    0.005    0.000 {built-in method builtins.len}
62802/62792    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     7168    0.004    0.000    0.018    0.000 __init__.py:829(endData)
  546/541    0.004    0.000    0.026    0.000 {built-in method builtins.__build_class__}
     3259    0.004    0.000    0.023    0.000 parser.py:379(parse_endtag)
     3462    0.004    0.000    0.014    0.000 element.py:1813(__init__)
    29605    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
     3461    0.003    0.000    0.037    0.000 _htmlparser.py:142(handle_starttag)
    10298    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
      164    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      945    0.003    0.000    2.569    0.003 ssl.py:1237(recv_into)
    18273    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     3461    0.003    0.000    0.018    0.000 _htmlparser.py:204(handle_endtag)
      901    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
 1268/191    0.003    0.000    0.034    0.000 _parser.py:452(_parse_sub)
 5463/370    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
      166    0.003    0.000    1.628    0.010 {method 'read' of '_io.BufferedReader' objects}
    10168    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    13725    0.002    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    23381    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3404    0.002    0.000    0.006    0.000 __init__.py:870(object_was_parsed)
     3460    0.002    0.000    0.005    0.000 __init__.py:953(_popToTag)
4056/4026    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x101c50a50}
      945    0.002    0.000    2.573    0.003 socket.py:694(readinto)
    16687    0.002    0.000    0.004    0.000 _parser.py:261(get)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
    25499    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     3404    0.002    0.000    0.005    0.000 element.py:1478(__new__)
    18790    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     3462    0.002    0.000    0.003    0.000 __init__.py:812(pushTag)
    15091    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    19111    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      941    0.002    0.000    0.002    0.000 {built-in method posix.stat}
        1    0.002    0.002    0.022    0.022 dammit.py:128(_populate_class_variables)
     3404    0.002    0.000    0.003    0.000 __init__.py:735(string_container)
      168    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
        3    0.001    0.000    0.006    0.002 filter.py:130(filter)
     2591    0.001    0.000    0.002    0.000 __init__.py:91(_replace_charref)
     3461    0.001    0.000    0.002    0.000 __init__.py:789(popTag)
7203/7176    0.001    0.000    0.004    0.000 typing.py:392(inner)
      945    0.001    0.000    2.566    0.003 ssl.py:1095(read)
     3460    0.001    0.000    0.015    0.000 __init__.py:1056(handle_endtag)
    13220    0.001    0.000    0.002    0.000 _parser.py:256(match)
     1962    0.001    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
      485    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7462    0.001    0.000    0.002    0.000 _parser.py:176(append)
     3461    0.001    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
    14496    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2666    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     8150    0.001    0.000    0.003    0.000 filter.py:726(match)
    12577    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
       25    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      164    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      313    0.001    0.000    0.060    0.000 __init__.py:280(_compile)
     2510    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
