('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      321    3.683    0.011    3.683    0.011 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {built-in method _socket.getaddrinfo}
        1    0.052    0.052    0.052    0.052 {method 'connect' of '_socket.socket' objects}
        1    0.021    0.021    0.021    0.021 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3463    0.013    0.000    0.069    0.000 parser.py:301(parse_starttag)
    31584    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
 4759/200    0.011    0.000    0.034    0.000 _parser.py:512(_parse)
    25/23    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
        2    0.009    0.004    0.112    0.056 parser.py:134(goahead)
 5523/192    0.008    0.000    0.018    0.000 _compiler.py:37(_compile)
      165    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       40    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    91378    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     3463    0.006    0.000    0.008    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3463    0.005    0.000    0.030    0.000 __init__.py:990(handle_starttag)
73473/67177    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    10276    0.004    0.000    0.004    0.000 element.py:382(setup)
63105/63095    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
  549/544    0.004    0.000    0.026    0.000 {built-in method builtins.__build_class__}
     7172    0.004    0.000    0.017    0.000 __init__.py:829(endData)
    29580    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
     3464    0.003    0.000    0.014    0.000 element.py:1813(__init__)
     3261    0.003    0.000    0.021    0.000 parser.py:379(parse_endtag)
      165    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
    10350    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3463    0.003    0.000    0.035    0.000 _htmlparser.py:142(handle_starttag)
        3    0.003    0.001    0.003    0.001 {built-in method _scproxy._get_proxy_settings}
      902    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
    18282    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     3463    0.003    0.000    0.017    0.000 _htmlparser.py:204(handle_endtag)
4121/4091    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x101634a50}
 1271/192    0.003    0.000    0.035    0.000 _parser.py:452(_parse_sub)
 5470/373    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
      227    0.003    0.000    2.048    0.009 {method 'read' of '_io.BufferedReader' objects}
     3406    0.003    0.000    0.006    0.000 __init__.py:870(object_was_parsed)
    10174    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    23503    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    16697    0.002    0.000    0.004    0.000 _parser.py:261(get)
    13733    0.002    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    19478    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    25513    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     3462    0.002    0.000    0.005    0.000 __init__.py:953(_popToTag)
     3406    0.002    0.000    0.004    0.000 element.py:1478(__new__)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
      956    0.002    0.000    0.002    0.000 {built-in method posix.stat}
    15179    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     3464    0.002    0.000    0.002    0.000 __init__.py:812(pushTag)
      321    0.002    0.000    3.686    0.011 ssl.py:1237(recv_into)
        1    0.002    0.002    0.023    0.023 dammit.py:128(_populate_class_variables)
    19122    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     3406    0.002    0.000    0.003    0.000 __init__.py:735(string_container)
       41    0.002    0.000    0.008    0.000 response.py:105(decompress)
        3    0.001    0.000    0.006    0.002 filter.py:130(filter)
7207/7180    0.001    0.000    0.004    0.000 typing.py:392(inner)
    13233    0.001    0.000    0.002    0.000 _parser.py:256(match)
     3462    0.001    0.000    0.014    0.000 __init__.py:1056(handle_endtag)
     3463    0.001    0.000    0.002    0.000 __init__.py:789(popTag)
      944    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      488    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2591    0.001    0.000    0.002    0.000 __init__.py:91(_replace_charref)
     8158    0.001    0.000    0.003    0.000 filter.py:726(match)
    14507    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      321    0.001    0.000    3.688    0.011 socket.py:694(readinto)
     3463    0.001    0.000    0.005    0.000 parser.py:345(check_for_whole_start_tag)
     1964    0.001    0.000    0.001    0.000 __init__.py:909(_linkage_fixer)
    12538    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
     2668    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
       25    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      165    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      314    0.001    0.000    0.060    0.000 __init__.py:280(_compile)
      931    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     7467    0.001    0.000    0.001    0.000 _parser.py:176(append)
     2526    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      123    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
6578/6510    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6742    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      321    0.001    0.000    3.684    0.011 ssl.py:1095(read)
       92    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     8516    0.001    0.000    0.004    0.000 {built-in method builtins.next}
       20    0.001    0.000    2.059    0.103 {method 'join' of 'bytes' objects}
     3319    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
     7926    0.001    0.000    0.003    0.000 __init__.py:122(unescape)
       16    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     7004    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8179    0.001    0.000    0.001    0.000 element.py:3090(descendants)
     7861    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       70    0.001    0.000    1.643    0.023 {method 'readline' of '_io.BufferedReader' objects}
     4223    0.001    0.000    0.001    0.000 filter.py:540(matches_tag)
      218    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       41    0.001    0.000    1.988    0.048 response.py:1202(read_chunked)
        1    0.001    0.001    4.154    4.154 financial.py:1(<module>)
     4309    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3463    0.001    0.000    0.001    0.000 element.py:2007(is_empty_element)
     3442    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     9208    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    10613    0.001    0.000    0.001    0.000 typing.py:2173(cast)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     3708    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     6196    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
    462/8    0.000    0.000    0.124    0.015 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      341    0.000    0.000    0.002    0.000 css_parser.py:1108(selector_iter)
      902    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
    222/4    0.000    0.000    0.125    0.031 <frozen importlib._bootstrap>:1349(_find_and_load)
      321    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     3757    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      165    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     4247    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       17    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
     3464    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
      192    0.000    0.000    0.004    0.000 _compiler.py:511(_compile_info)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
     2937    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1058    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
    167/1    0.000    0.000    4.154    4.154 {built-in method builtins.exec}
      321    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     3464    0.000    0.000    0.000    0.000 __init__.py:636(set_up_substitutions)
